sentence,exrecise,feeling
i did three sets of 15 planks. i feel sore and glad that they're over.,planks,sore
i did planks my abdomen was hurt,planks,hurt
i did 10 planks for 15 seconds each. i felt sore.,planks,sore
"i began doing planks. i felt very out of shape, could hardly breathe.",planks,"out of shape, hardly breathe"
i just did planks for 20 minutes my core felt tighter afterward,planks,tighter
i played two games of half-court basketball. i feel great and need to play more often.,played,great
i played full court basketball. i felt out of breath.,played,out of breath
i played football for 2 hours. i felt sore after.,played,sore
i played badminton for 30 minutes.  i feel tired but happy to get my workout in.,played badminton,"tired, happy"
"i played basketball for the last 2 hours with my friends. it felt amazing i can’t wait to do it again,",played basketball,amazing
i played football with my son for the past 2 hours and im feeling great,played football,feeling great
i played football outside with my friends yesterday. i was very tired but relaxed at the same time.,played football,"tired, relaxed"
"i played pickleball for one hour today. i felt like i was playing really well, but then after the games i felt really tired.",played pickleball,"playing really well, really tired"
i spent 45 minutes doing pool aerobics. i felt great after this workout.,pool aerobics,great
i power walked for half an hour and i felt energised and made me feel good.,power walked,"energised, good"
i power walked for 40 mins. i felt really energized.,power walked,energized
"i just power walked 5,000 steps. i feel invigorated!",power walked,invigorated
today i power walked for 30 minute. i was totally out of breath.,power walked,out of breath
i power-walked 4.2 miles. i felt stiff and achy afterwards.,power-walked,"stiff, achy"
"i did some preacher curls  fantastic, my arms got a nice pump.",preacher curls,"fantastic, nice pump"
"i used my weight machine to do presses i felt physically tired, but great",presses,great
i just did shoulder presses. i felt amazing!,presses,amazing
puching the bag it is too good,puching,good
i did one pull up.  i felt proud.,pull up,proud
i just did 15 pull ups my shoulders are very tired,pull up,tired
i did 5 pull ups. my arms were shaking at the end of my third pull up.,pull up,shaking
pull ups i feel healthy,pull ups,healthy
my first workout is pull ups while doing this workout be get struggle to pull body up and down after doing this workout we get pain in wings and chest,pull ups,"struggle, pain"
i did 50 pull ups. my arms feel sore.,pull ups,sore
i did pull ups i felt energized,pull ups,energized
pull ups felt like death,pull ups,death
my workout consisted of 12 pull ups i feel wonderful but i am not don yet i have to reach my goal,pull ups,feel wonderful
i did 100 pull ups  i felt like my back was going to explode,pull ups,explode
i did 10 pull ups  i feel like i can not breath,pull ups,can not breath
i did 10 pull ups.  i feel powerful.,pull ups,powerful
20 assisted pull ups  arms are weak and crampy,pull ups,"weak, crampy"
i did 6 assisted pull ups. i'm so weak right now!,pull ups,weak
i completed 10 consecutive pull ups. my grip started to weaken and i felt fatigue in my lats.,pull ups,fatigue
pull ups my arms were so sore i was at muscle failure,pull ups,"sore, muscle failure"
i did 5 pull ups on a workout bar i must have gained weight!,pull ups,gained weight
i did pull ups on a bar. i’m exhausted and sore now.,pull ups,"exhausted, sore"
i did 15 pull-up i felt exhuasted,pull-up,exhuasted
i just did three pull-ups. my left shoulder started hurting again.,pull-ups,hurting
i did 1 minute of pull-ups i felt like i could go a 30 seconds more,pull-ups,i could go a 30 seconds more
i did 10 pull-ups. i feel a little tired.,pull-ups,tired
i did 200 dead hang pull=ups today i felt really strong and in control during this exercise,pull=ups,"strong, in control"
i take pullups 4 set daily i felt very powerful,pullups,powerful
i did 10 pullups i felt heavy,pullups,heavy
push up exercise felt like i was going to stop breathing during the excercise,push up,stop breathing
i just finish 20 push ups and am worn out already,push up,worn out
i just did three sets of twenty-five push up my chest is on fire,push up,fire
i did 10 push ups and felt good,push ups,good
i did a set of 20 push ups and felt good after.,push ups,good
yesterday i was working out doing push ups. i got tired after only fifty push ups and quit because my muscles in my arms were cramping up and it was hurting.,push ups,"tired, cramping, hurting"
i did 100 push ups and got tired,push ups,tired
i worked out in gym and did 20 push ups and my muscles felt like they were going to torn out,push ups,torn out
i practice 10 minutes of push ups it makes me hard,push ups,hard
i do push ups it hurts my arms in a good way,push ups,hurts
i did some push ups i felt tired,push ups,tired
second workout is push ups good feel,push ups,good feel
second workout is push ups  really good feel,push ups,good feel
i did twenty push ups  i felt weak and fatigued,push ups,"weak, fatigued"
i did 100 push ups i felt like my arms were on fire!,push ups,like my arms were on fire
i do push ups. i feel weak.,push ups,weak
i just did 100 push ups my arms were killing me,push ups,killing me
i did fifteen push ups i feel great,push ups,great
i swam fifteen push ups i felt great,push ups,great
push ups i felt tired,push ups,tired
i did 25 push ups my arms were very tired after doing the push ups,push ups,tired
i did twenty push ups. my muscles are sore.,push ups,sore
10 push ups a day great,push ups,great
i did 30 push ups today. i felt exhausted.,push ups,exhausted
push ups felt terrible,push ups,terrible
i did 1 minute of push ups stomach burns,push ups,burns
i just did 100 push ups my arms and chest are in pain,push ups,pain
i did 50 push ups i really feel strong,push ups,strong
i did 30 push ups i felt fulfilled,push ups,"fulfilled, tired"
i just did 30 push ups im really sore now,push ups,sore
i did 50 push ups i feel lighter,push ups,lighter
i did 25 push ups. i felt tired but strong.,push ups,"tired, strong"
i just did push ups for an hour my chest hurts.,push ups,hurts
i did 40 push ups i feel stronger.,push ups,stronger
i did push ups yesterday i was in pain from it,push ups,pain
i tried to do push ups and could only do three my arms were shaking and i felt weak,push ups,"shaking, weak"
i did push ups this is hard,push ups,hard
i just 5 sets of push ups. my arms feel like jello.,push ups,jello
i did a hundred push ups today my upper body aches!,push ups,aches
i did push ups envigorated,push ups,envigorated
i did 8 push ups. the last few were definitely struggles.,push ups,struggles
i just did a set of push ups. my arm muscles really feel week.,push ups,week
i perform 10 push ups on my first workout. i felt very energetic after my first workout.,push ups,very energetic
i did 20 push ups. i felt like a rock star,push ups,rock star
i do 100 push ups.  like my arms are strong and i could kill a bull.,push ups,strong
i just di 100 push ups i felt really stronger,push ups,stronger
i just did 25 push ups! i felt really energized.,push ups,energized
i did ten push ups during the pushups i was tired.,push ups,tired
i did 30 push ups.  i felt my arms are trembling.,push ups,trembling
i did 10 push ups on a workout mat. i felt the pain in my arms and chest.,push ups,pain
i just did ten push ups . i feel sick.,push ups,sick
10 push ups pumped ready to do a second set,push ups,pumped
4 sets of push ups triceps sore,push ups,triceps sore
push ups take rest,push ups,rest
i take  100 push ups i feel so tired,push ups,tired
i did 25 push ups  it  made my body feel tense,push ups,tense
i just did 20 push ups i'm pumped up and ready for more,push ups,pumped up
i just did 50 push ups i feel very sweaty and tired,push ups,"sweaty, tired"
i did 20 push ups. i was starting to warm up.,push ups,warm
"""i did twenty push-up."" "" i felt happy.""",push-up,happy
i did about thirty push-ups and felt tired afterwards.,push-ups,tired
i did 50 push-ups and my arms are tired now!,push-ups,tired
i made 40 push-ups and i felt weak,push-ups,weak
i did 80 push-ups and now i've shoulders aching,push-ups,shoulders aching
this morning i did 25 push-ups. my arms are exhausted. i feel sluggish!,push-ups,sluggish
"i done 50 push-ups, and felt so strong in my hands.",push-ups,strong
i accomplished 20 push-ups this session.  i was pretty achy but i felt energized.,push-ups,"achy, energized"
i did 50 push-ups i am very tired,push-ups,tired
i've done fifty push-ups i felt really exhausted,push-ups,exhausted
"i did a series of exercises including push-ups and sit-ups while i am glad to do it, the exercises made me tired.",push-ups,tired
i did 25 push-ups. my arms were very sore,push-ups,sore
first thing i do in the morning when i wake up is do 25 push-ups. it wakes me up and gets me going in the morning.,push-ups,wakes me up
i just did 25 push-ups. my arms feel like jelly.,push-ups,jelly
i did 20 push-ups. my arms are so sore right now!,push-ups,sore
i workout push-ups  i felt my arms are strong,push-ups,strong
i did two sets of 50 push-ups.  my arms are still sore.,push-ups,sore
i did 20 push-ups. i'm shaky and my muscles feel weak.,push-ups,"shaky, weak"
i did 20 push-ups in a row i feel like i am going to die,push-ups,die
i did 4 sets of ten push-ups today. my arms feel wobbly.,push-ups,wobbly
"did 50 pushups up in a row, felt great",pushups,great
i just did 50 pushups and feel exhausted.,pushups,exhausted
i did 50 pushups. it was hard but i felt good after.,pushups,"hard,  good"
i did 20 pushups. i felt energized and ready to go afterwards.,pushups,"energized, ready to go"
